Track,Album Name,Artist,Release Date,Spotify Playlist Count,Spotify Popularity,YouTube Views,Explicit Track
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,210583.0,74.0,254051906.0,0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-06-05,2.0,9.0,,0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,2.0,,222076.0,0
Supernova,Supernova,aespa,2024-05-13,2483.0,81.0,111310770.0,0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,173358.0,79.0,1516863120.0,1
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,4.0,,,1
Calm Down,Calm Down,Rema,2022-02-10,182994.0,68.0,1141904909.0,0
CARNIVAL,CARNIVAL,ıı$,2024-02-08,53842.0,84.0,27688666.0,1
Kill Bill,SOS,SZA,2022-12-08,190202.0,82.0,220538045.0,0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,11456.0,82.0,144741616.0,0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03,252.0,6.0,2038459981.0,0
Heat Waves,Heat Waves,Glass Animals,2020-06-29,486278.0,82.0,1272898075.0,0
In the End,Papercuts,Linkin Park,2024-04-12,97.0,,,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,10013.0,74.0,776436101.0,0
The Way We Move - Extended Mix,The Way We Move,PowerDress,2023-03-10,38.0,4.0,1999374091.0,0
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,127393.0,67.0,3203314695.0,0
un x100to,un x100to,Grupo Frontera,2023-04-17,99381.0,75.0,878892413.0,0
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,2020-04-24,1023.0,,12489728.0,0
Sprinter,Sprinter - Single,Dave,2023-06-01,199828.0,78.0,219666692.0,1
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,11028.0,90.0,19402457.0,0
TQG,TQG,KAROL G,2023-02-23,78554.0,78.0,1102289596.0,1
Perfect,ıı (Deluxe),Ed Sheeran,2017-03-03,280165.0,81.0,6473698897.0,0
Pepas,Pepas,Farruko,2021-06-24,359502.0,74.0,1431591689.0,1
Peekaboo,Glide - Single,Dave Angel,2023-01-27,63.0,,2055940513.0,0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,129463.0,74.0,701880622.0,0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,74769.0,80.0,173044031.0,0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,2023-03-17,94887.0,79.0,920878032.0,1
redrum,american dream,21 Savage,2024-01-12,57311.0,,105148629.0,1
Easy On Me,Easy On Me,Adele,2021-10-14,209635.0,73.0,1194846205.0,0
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,2022-05-06,190692.0,77.0,1366181141.0,1
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,2023-05-12,108322.0,68.0,203487345.0,1
Anti-Hero,Midnights,Taylor Swift,2022-10-21,117005.0,80.0,203259285.0,0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,20949.0,78.0,1132539234.0,0
Magnetic,SUPER REAL ME,ILLIT,2024-03-25,115.0,86.0,202206901.0,0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,2023-07-28,37806.0,70.0,347506860.0,1
La Diabla,La Diabla - Single,Xavi,2023-12-02,27544.0,83.0,433839212.0,0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2023-02-03,129047.0,70.0,211810152.0,1
Snooze,SOS,SZA,2022-12-09,108036.0,84.0,390677417.0,1
BELLAKEO,BELLAKEO,Peso Pluma,2023-12-07,26065.0,86.0,369321334.0,1
Agora Hills,Scarlet,Doja Cat,2023-09-22,66219.0,,48045203.0,1
Prada,Prada,cassï¿,2023-08-11,128498.0,83.0,47611547.0,1
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,2024-05-02,470.0,,1278618.0,0
Lil Boo Thang,Lil Boo Thang,Paul Russell,2023-08-18,3717.0,76.0,22907992.0,0
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,73306.0,78.0,113379734.0,1
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,2020-04-24,724.0,43.0,9977490.0,0
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,2023-06-15,163449.0,77.0,8183226.0,0
Training Season,Training Season,Dua Lipa,2024-02-15,16811.0,76.0,66691067.0,0
Type Shit,WE DON'T TRUST YOU,Future,2024-03-22,28064.0,84.0,39453253.0,1
Armageddon,Armageddon - The 1st Album,aespa,2024-05-27,1262.0,74.0,57861795.0,0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,317345.0,78.0,441257231.0,1
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,354831.0,70.0,1003346208.0,1
Pedro,Pedro - Single,Jaxomy,2024-03-29,27654.0,85.0,35008949.0,0
Fast Car,Gettin' Old,Luke Combs,2023-03-24,73116.0,80.0,107703759.0,0
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,2024-01-07,22222.0,80.0,389540239.0,0
Aesthetic,Aesthetic,Tollan Kim,2022-03-04,2311.0,44.0,3120073.0,0
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,2018-10-18,392082.0,79.0,2763188773.0,0
Hands,Hands,Dianï¿½,2022-08-01,8.0,1.0,2435813922.0,0
Saturn,Saturn - Single,SZA,2024-02-24,21104.0,87.0,38173339.0,0
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,2024-06-04,,,39323383.0,0
Believer,Believer,Imagine Dragons,2017-01-31,33588.0,81.0,4495059988.0,0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,2022-04-27,18385.0,77.0,357772653.0,1
I KNOW ?,UTOPIA,Travis Scott,2023-07-28,128534.0,81.0,97958347.0,1
ANDO,ANDO,Jere Klein,2023-09-27,28591.0,72.0,406307035.0,1
First Class,First Class,Jack Harlow,2022-04-08,223609.0,71.0,231229581.0,1
FE!N,UTOPIA,Travis Scott,2023-07-28,129923.0,86.0,125203447.0,1
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,2023-03-03,545.0,40.0,1577017938.0,1
Losing Interest - Original Mix,Losing Interest (Original),Goovex,2024-06-10,5.0,1.0,,0
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,2022-05-13,212406.0,83.0,409785349.0,0
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,2023-08-10,23959.0,78.0,509727241.0,0
Drained of Color,Drained of Color,Exhumed,2022-08-30,635.0,16.0,2156140830.0,0
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,2020-07-24,302486.0,76.0,747126783.0,1
Dynamite,Dynamite,BTS,2020-08-21,144619.0,74.0,2638957320.0,0
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,2023-12-10,3.0,,,0
Someone You Loved,Breach,Lewis Capaldi,2018-11-08,338763.0,82.0,2153701892.0,0
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,2023-05-11,23091.0,64.0,363082908.0,0
Made You Look,Takin' It Back,Meghan Trainor,2022-10-21,74295.0,77.0,221078988.0,0
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,2023-06-22,351.0,34.0,1022331.0,0
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,2024-05-29,62.0,,54330074.0,0
vampire,vampire,Olivia Rodrigo,2023-06-30,90793.0,18.0,113450524.0,1
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,2024-03-01,2052.0,74.0,63418833.0,0
Back,Back,LOLA,2022-08-03,92.0,3.0,2123978358.0,0
People,People - Single,Libianca,2022-12-05,121823.0,74.0,305998382.0,1
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,2024-01-05,1.0,,,1
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,2024-03-17,10537.0,,944314.0,1
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,2024-04-05,10564.0,84.0,9134225.0,0
Abc,Abc,J Ross,2023-02-14,5.0,1.0,1538564650.0,0
La Bachata,La Bachata,Manuel Turizo,2022-05-26,156941.0,81.0,798827877.0,0
ııııııııııııııııııııı,ııııııııııııııııııııı,FLI:P,2023-04-07,1972.0,44.0,48533758.0,0
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,282719.0,74.0,1019256266.0,1
Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,27023.0,78.0,1201600884.0,0
Lucid Dreams,Lucid Dreams,Juice WRLD,2018-05-04,339306.0,78.0,987143411.0,1
PROVENZA,PROVENZA,KAROL G,2022-04-22,103026.0,76.0,1229843060.0,0
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,171255.0,72.0,1329826741.0,1
SPOT!,SPOT!,ZICO,2024-04-26,3407.0,81.0,100148771.0,0
Family Matters,Family Matters,Drake,2024-05-03,8696.0,86.0,41492122.0,1
Again,Missing,Kurochuu,2024-06-09,2.0,2.0,,0
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,2023-07-14,5495.0,80.0,397523735.0,1
Last Night,3 Songs At A Time Sampler,Morgan Wallen,2023-01-31,107189.0,79.0,141852059.0,1
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,22396.0,85.0,13119247.0,0
Bad Habits,#NAME?,Ed Sheeran,2020-01-01,271758.0,74.0,958790883.0,0
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,2023-08-10,56104.0,82.0,258553384.0,1
Leave The Door Open,Leave The Door Open,Bruno Mars,2021-03-05,248793.0,75.0,993324548.0,0
ıııııııııııııııııı,ııııııııııııııı 3ıııııı ııııııııııııııı,ııııııııııııııı(ııııııııııııııı),2022-01-05,130.0,24.0,1356336.0,0
good 4 u,good 4 u,Olivia Rodrigo,2021-05-14,309421.0,79.0,773591065.0,1
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,296739.0,76.0,1779243626.0,0
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,2018-05-25,251033.0,74.0,2372399124.0,0
DESPECHï¿,DESPECHï¿,ROSALï¿½,2022-07-28,126402.0,73.0,621874255.0,1
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,272933.0,70.0,1170441361.0,1
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,2023-03-23,4473.0,71.0,131308671.0,0
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2023-08-24,704.0,84.0,50938569.0,0
Circles,Circles,Post Malone,2019-08-30,332437.0,80.0,1116323669.0,0
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,2023-08-03,24891.0,78.0,577930708.0,0
About Damn Time,About Damn Time,Lizzo,2022-04-14,104052.0,66.0,106024874.0,1
Closer,Closer,The Chainsmokers,2016-07-29,285381.0,80.0,4086121880.0,0
FLOWER,ME,JISOO,2023-03-31,26107.0,70.0,525156884.0,0
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,61138.0,83.0,183381482.0,1
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,2023-10-06,68037.0,,86580734.0,1
Havana (feat. Young Thug),Havana,Camila Cabello,2017-08-03,194332.0,75.0,3952909529.0,0
LUNA,FERXXOCALIPSIS,Feid,2023-12-01,40628.0,86.0,166363445.0,0
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,118965.0,73.0,299001099.0,1
Bones,Bones,Imagine Dragons,2022-03-11,180053.0,78.0,584854654.0,0
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,2023-08-17,32236.0,79.0,475200526.0,1
Selfish,Selfish,Justin Timberlake,2024-01-25,8847.0,,42581931.0,0
golden hour,golden hour,JVKE,2022-07-15,200887.0,73.0,293553015.0,0
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,2020-03-27,255296.0,77.0,1665434424.0,0
Get It Sexyy,Get It Sexyy,Sexyy Red,2024-03-15,7377.0,84.0,37676729.0,1
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,2023-10-18,2673.0,19.0,7863539.0,0
IDGAF (feat. Yeat),For All The Dogs,Drake,2023-10-06,8593.0,,39850191.0,1
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,152592.0,78.0,945857087.0,0
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,2020-01-10,276882.0,67.0,2430804498.0,1
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,2022-10-12,128247.0,75.0,175393116.0,1
Stargazing,Stargazing,Myles Smith,2024-05-10,9406.0,87.0,10331471.0,0
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,239671.0,78.0,198796965.0,1
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,251023.0,72.0,306628096.0,1
Memories,Memories,Maroon 5,2019-09-20,222804.0,77.0,1290292327.0,0
Classy 101,Classy 101,Feid,2023-03-31,90726.0,78.0,477047694.0,1
Whatever,Whatever,Kygo,2024-01-19,17551.0,83.0,45439562.0,0
Whatever She Wants,Whatever She Wants,Bryson Tiller,2024-02-13,23181.0,87.0,19787472.0,1
Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,2023-08-04,119783.0,80.0,37192341.0,0
"yes, and?","yes, and?",Ariana Grande,2024-01-12,22468.0,,115105080.0,1
Without Me,Without Me,Halsey,2018-10-04,198888.0,75.0,2018089906.0,1
meet the grahams,meet the grahams,Kendrick Lamar,2024-05-03,8933.0,,36834647.0,1
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,2023-10-06,72252.0,,61769035.0,1
Shallow,Shallow,Lady Gaga,2018-09-27,221822.0,78.0,2732311956.0,0
Thunder,Thunder,Imagine Dragons,2017-04-27,244951.0,79.0,2707166590.0,0
Rush,Rush,Ayra Starr,2022-09-16,98009.0,67.0,361174452.0,0
abcdefu,abcdefu,GAYLE,2021-08-13,193857.0,70.0,499895662.0,1
Buga,Buga,Kizz Daniel,2022-05-03,30835.0,57.0,266679537.0,0
Bad Habit,Bad Habit,Steve Lacy,2022-06-29,220515.0,73.0,147472695.0,1
MONEY,LALISA,LISA,2021-09-10,103236.0,73.0,1323718887.0,1
Columbia,Columbia,Quevedo,2023-07-07,84161.0,79.0,266411536.0,0
LADY GAGA,LADY GAGA,Peso Pluma,2023-06-22,4837.0,78.0,362779953.0,1
Woman,Planet Her,Doja Cat,2021-06-25,217443.0,78.0,641326002.0,1
CUFF IT,RENAISSANCE,Beyoncï¿,2022-07-29,100204.0,73.0,176996169.0,1
KING KONG,KING KONG,TREASURE,2024-05-28,207.0,68.0,44927750.0,0
How You Like That,How You Like That,BLACKPINK,2020-06-25,8217.0,68.0,1584676582.0,0
Milf Song,Milf Song,The Puddleducks,2022-08-19,1176.0,28.0,1704936540.0,0
Nasty,Nasty,Tinashe,2024-04-12,3887.0,76.0,6277949.0,0
Superhero (Heroes & Villains),HEROES & VILLAINS,Metro Boomin,2022-12-02,166277.0,77.0,172653099.0,1
Panda,Panda,Desiigner,2016-02-26,170002.0,62.0,2277330940.0,1
Push Ups,Push Ups,Drake,2024-04-19,14601.0,,14792036.0,1
Tattoo,Tattoo,Loreen,2023-02-25,83033.0,77.0,348331280.0,0
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-04-09,262313.0,76.0,307855103.0,1
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,2023-03-17,29487.0,61.0,65934972.0,1
Gata Only,Gata Only - Single,FloyyMenor,2023-12-21,1841.0,,108313521.0,0
Illusion,Illusion,Dua Lipa,2024-04-11,743.0,12.0,3947610.0,1
drivers license,drivers license,Olivia Rodrigo,2021-01-08,250778.0,79.0,984811734.0,1
Used To Be Young,Endless Summer Vacation,Miley Cyrus,2023-08-18,30639.0,69.0,61624959.0,0
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2023-02-24,10304.0,48.0,15219067.0,0
How Sweet,How Sweet,NewJeans,2024-05-24,194.0,79.0,40327759.0,0
Players,Players,Coi Leray,2022-11-30,91658.0,67.0,109781672.0,1
rockstar (feat. 21 Savage),rockstar,Post Malone,2017-09-15,352745.0,77.0,2391850868.0,1
Lil Somethin Somethin,Lil Somethin Somethin,Vayah,2023-03-11,6.0,,1175875850.0,1
Con Calma,Con Calma,Daddy Yankee,2019-01-24,160122.0,73.0,3207187334.0,0
Here With Me,Here With Me,d4vd,2022-07-20,154178.0,80.0,256736243.0,0
Favorite Song,Favorite Song,Toosii,2023-02-17,45668.0,62.0,231699320.0,0
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,2024-03-09,5423.0,85.0,135893150.0,0
Mele Kalikimaka,"Essential Classics, Vol. 166: Bing Crosby",Bing Crosby,2024-06-05,52.0,,,0
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,2021-03-26,316054.0,70.0,274582854.0,1
Voz Emplumada del Monte,Voz Emplumada - EP,Biomigrant,2023-03-03,80.0,16.0,1138846819.0,0
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,2023-10-26,20404.0,,23505530.0,0
Si No Estï¿½,Si No Estï¿½ï¿½s - Si,iï¿½ï¿½igo quin,2022-09-22,97057.0,80.0,358206246.0,0
Glimpse of Us,Glimpse of Us,Joji,2022-06-10,234936.0,74.0,66246839.0,0
Watermelon Sugar,Watermelon Sugar,Harry Styles,2019-11-17,298135.0,82.0,872052223.0,0
Corazï¿½ï¿½n de Pi,Corazï¿½ï¿½n de Piedra - Si,Xavi,2024-03-23,5517.0,82.0,117450205.0,0
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,2023-12-27,50137.0,70.0,112961806.0,1
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,2023-05-18,9844.0,72.0,217687654.0,1
Yandel 150,Yandel 150,Yandel,2022-12-20,102545.0,70.0,472335529.0,1
THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,165197.0,72.0,194928107.0,1
Todo De Ti,Todo De Ti,Rauw Alejandro,2021-05-20,188874.0,75.0,873449363.0,1
Chemical,Chemical,Post Malone,2023-04-14,79679.0,75.0,90349145.0,1
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,2015-01-01,159571.0,78.0,6335989683.0,0
Drip Too Hard (Lil Baby & Gunna),Drip Too Hard,Lil Baby,2018-09-12,266128.0,76.0,637733433.0,1
Shooting Star,Kep1going On,Kep1er,2024-06-03,193.0,,28023956.0,0
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,2011-11-20,256764.0,77.0,5644117304.0,1
Dog's Plan,Thoughts Feelings,David Jackson,2023-03-02,44.0,3.0,1131058312.0,0
love nwantiti (ah ah ah),CKay The First,CKay,2019-08-30,172458.0,71.0,1132006963.0,1
Mi Gente,Mi Gente,J Balvin,2017-06-30,189504.0,69.0,3859031931.0,0
Late Night Talking,Harry's House,Harry Styles,2022-05-20,108806.0,76.0,151113156.0,0
Miss You,Miss You,Oliver Tree,2022-08-05,165883.0,51.0,32628348.0,1
girls like me don't cry,Girls Like Me Don't Cry,thï¿½ï,2022-10-06,1322.0,61.0,63786141.0,0
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,2020-10-20,543.0,35.0,3060919074.0,0
Dakiti,Dakiti,Bad Bunny,2020-01-01,245685.0,72.0,1861597184.0,1
Starboy,Starboy,The Weeknd,2016-09-22,366133.0,84.0,2829990867.0,1
Sorry,Sorry,Justin Bieber,2015-10-23,179545.0,78.0,4467507940.0,0
Calling My Phone,Calling My Phone,Lil Tjay,2021-02-12,213153.0,71.0,482028631.0,1
Pink Venom,Pink Venom,BLACKPINK,2022-08-19,48251.0,68.0,868589823.0,0
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,7079.0,84.0,16747466.0,1
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,2019-02-09,283938.0,74.0,1135382823.0,0
